Air Mass	Magnitude
1.393129945	9.65692997
1.387189984	9.670200348
1.381180048	9.683930397
1.375049949	9.67689991
1.369019985	9.672719955
1.363129973	9.68887043
1.35729003	9.678959846
1.351549983	9.687439919
1.345890045	9.680319786
1.340160012	9.679400444
1.334609985	9.686590195
1.32912004	9.696089745
1.323750019	9.681380272
1.318400025	9.701729774
1.313140035	9.692090034
1.307940006	9.699899673
1.237140059	9.703499794
1.232849956	9.685790062
1.228780031	9.691619873
1.224609971	9.683480263
1.220460057	9.682220459
1.216420054	9.682849884
1.212360024	9.694129944
1.208359957	9.681799889
1.204470038	9.675350189
1.200600028	9.674200058
1.196779966	9.692469597
1.192989945	9.689929962
1.189280033	9.689459801
1.185660005	9.673540115
1.182019949	9.693129539
1.178480029	9.682209969
1.174960017	9.682780266
1.171489954	9.685290337
1.168069959	9.675749779
1.164739966	9.693579674
1.161550045	9.682310104
1.158310056	9.684840202
1.155069947	9.683639526
1.151859999	9.684370041
1.148720026	9.689720154
1.145640016	9.700400352
1.142580032	9.680339813
1.139569998	9.691610336
1.136600018	9.69054985
1.133710027	9.696200371
1.130810022	9.68696022
1.127959967	9.68599987
1.125169992	9.688220024
1.122429967	9.697330475
1.119729996	9.693519592
1.117059946	9.693969727
1.114429951	9.687649727
1.11184001	9.690520287
1.10927999	9.680470467
1.106760025	9.68198967
1.104290009	9.685440063
1.101850033	9.690810204
1.099439979	9.685199738
1.097149968	9.684009552
1.094810009	9.685440063
1.092509985	9.691419601
1.090240002	9.686989784
1.088019967	9.684639931
1.085800052	9.687749863
1.08367002	9.684510231
1.081529975	9.697110176
1.079460025	9.694519997
1.077409983	9.686570168
1.075410008	9.684900284
1.073410034	9.693110466
1.071480036	9.687809944
1.069569945	9.68764019
1.067700028	9.68362999
1.065860033	9.678159714
1.064039946	9.690480232
1.062270045	9.68280983
1.060520053	9.694950104
1.058809996	9.682100296
1.057109952	9.681070328
1.055449963	9.687520027
1.053840041	9.687789917
1.052250028	9.69797039
1.050670028	9.684749603
1.049160004	9.700110435
1.04768002	9.70086956
1.046219945	9.692339897
1.044780016	9.692899704
1.043370008	9.687919617
1.041990042	9.694379807
1.039330006	9.699979782
1.038050056	9.695739746
1.03681004	9.701809883
1.035570025	9.697239876
1.034369946	9.699899673
1.033190012	9.692609787
1.03204		9.692130089
1.030920029	9.699979782
1.029819965	9.686149597
1.028759956	9.703450203
1.027770042	9.684989929
1.026749969	9.697660446
1.025769949	9.686160088
1.02481997	9.6792202
1.023900032	9.6936903
1.023010015	9.694840431
1.022130013	9.685939789
1.021289945	9.688630104
1.020480037	9.701620102
1.019690037	9.68735981
1.018929958	9.677949905
1.018190026	9.693940163
1.017490029	9.703650475
1.016800046	9.679900169
1.016149998	9.689089775
1.01552999	9.696229935
1.01493001	9.706000328
1.014359951	9.682800293
1.013810039	9.68832016
1.013290048	9.68735981
1.012789965	9.692990303
1.012320042	9.686289787
1.011860013	9.687259674
1.011450052	9.685759544
1.011059999	9.677209854
1.010699987	9.692199707
1.010360003	9.674630165
1.010050058	9.697369576
1.009760022	9.704070091
1.009500027	9.684969902
1.009260058	9.684900284
1.009050012	9.693619728
1.008870006	9.693530083
1.008710027	9.685689926
1.008579969	9.691940308
1.008470058	9.698619843
1.00838995	9.697699547
1.008329988	9.692429543
1.008299947	9.689920425
1.008299947	9.687709808
1.008319974	9.69260025
1.008360028	9.702019691
1.008440018	9.698579788
1.008530021	9.709890366
1.008649945	9.689439774
1.00880003	9.694560051
1.008970022	9.691430092
1.009170055	9.693160057
1.00940001	9.691049576
1.009649992	9.687970161
1.009920001	9.684869766
1.010220051	9.689970016
1.010550022	9.705069542
1.010900021	9.70705986
1.011279941	9.693619728
1.011680007	9.69478035
1.012120008	9.700019836
1.012570024	9.69604969
1.01304996	9.707960129
1.013560057	9.696610451
1.014080048	9.687000275
1.014649987	9.69340992
1.015220046	9.693120003
1.01583004	9.700369835
1.016469955	9.693129539
1.017140031	9.694149971
1.017830014	9.693309784
1.018550038	9.698410034
1.01928997	9.69287014
1.020059943	9.695520401
1.020859957	9.696379662
1.021700025	9.692830086
1.022539973	9.695850372
1.023399949	9.694930077
1.024309993	9.68887043
1.025249958	9.702079773
1.026219964	9.691060066
1.027220011	9.696949959
1.028259993	9.680569649
1.029309988	9.690039635
1.030369997	9.672229767
1.031450033	9.683859825
1.032580018	9.68268013
1.03373003	9.683130264
1.034890056	9.686869621
1.03610003	9.691840172
1.037350059	9.691419601
1.03994		9.703630447
1.042649984	9.68805027
1.044039965	9.691869736
1.045439959	9.701910019
1.04689002	9.699609756
