Pitching Data for 453329 for game: gid_2014_08_31_mlb_tbamlb_1/																																																
dateStamp	park_sv_id		ab_tot  ab_ct	pit_id	bat_id	ab_id	des		type	id	sz_top	sz_bot	pfx_xDF	pfx_zDF	mlbpitch_name	zloc	pitcon	stand	strikes	balls	p_throwsgid			pdes			spin	norm_ht		inning		tstart		vystart		ftime		pfx_x		pfx_z		uncorted_pfx_x	uncorted_pfx_z	x0		y0	z0		vx0		vy0		vz0		ax		ay		az		strtspd	px		pz		pxold	pzold	sb
8/31/2014	140831_135501tba	1	1	453329	595281	5	Single		X	36	3.43	1.62	-3.953	9.786	FF		0.907	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, no out"	201.874	-0.879558	1		0.075662308	-131.0764012	0.304549592	-6.324096848	9.032039403	-6.324096848	9.032039403	-1.611007006	55	6.154691861	5.965681995	-134.3325462	-7.212973134	-11.36399981	28.80700035	-15.94899965	91.81	-0.110645231	1.752160893	0.009	1.729	0
8/31/2014	140831_135633tba	3	1	453329	446386	6	Flyout		S	42	3.45	1.55	12.092	-6.873	CU		0.905	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		60.5877	0.847368	1		0.090393548	-109.7267288	0.36363824	8.259259056	-7.460309154	8.259259056	-7.460309154	-1.218876347	55	6.044546586	-0.839844574	-112.4178143	4.924788458	10.41000036	19.92699928	-41.58200098	76.72	-0.34329198	3.330063184	-0.158	3.305	0
8/31/2014	140831_135717tba	3	2	453329	446386	6	Flyout		S	44	3.45	1.55	3.476	6.541	FC		0.904	R	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Swinging Strike		152.201	-1.39263	1		0.07764106	-127.9926522	0.309195667	0.868448194	5.8382207	0.868448194	5.8382207	-1.348032083	55	6.006300565	3.481770058	-130.4007248	-6.60481968	1.513999973	20.74100037	-22.00099969	89.06	0.269670205	1.207579603	0.404	1.177	1
8/31/2014	140831_135802tba	3	3	453329	446386	6	Flyout		X	46	3.45	1.55	-0.39	11.972	FF		0.898	R	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	181.814	-0.0336842	1		0.074890897	-132.5341493	0.300135972	-2.767306797	11.1924589	-2.767306797	11.1924589	-1.214981041	55	6.162110229	3.604612404	-135.5035082	-6.568186847	-5.11999997	26.52999992	-11.47099996	92.53	-0.164338854	2.481796942	-0.046	2.468	2
8/31/2014	140831_135854tba	3	1	453329	459964	7	GroundedIntoDP	S	50	3.34	1.58	-4.614	6.027	FT		0.89	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		217.219	-0.705682	1		0.075227077	-131.9187164	0.301765623	-6.928034203	5.36594832	-6.928034203	5.36594832	-1.224868996	55	6.085073077	3.297573979	-134.9437577	-5.555497729	-12.67999979	26.90899963	-22.35800005	92.11	-0.946676298	1.866388964	-0.84	1.839	0
8/31/2014	140831_135923tba	3	2	453329	459964	7	GroundedIntoDP	S	51	3.34	1.58	11.125	-4.356	CU		0.902	L	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			68.8592	-0.619318	1		0.08754299	-113.2601839	0.352832577	7.535927936	-4.971665179	7.535927936	-4.971665179	-1.241858226	55	6.19553975	-0.522082635	-116.1562709	0.618587155	10.08900026	22.1470005	-38.83499933	79.2	-0.314602934	1.953611182	-0.141	1.915	1
8/31/2014	140831_135950tba	3	3	453329	459964	7	GroundedIntoDP	X	52	3.34	1.58	-1.519	6.242	CH		0.916	L	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	193.533	-0.0852273	1		0.083880027	-118.2807846	0.336923268	-4.488473657	5.4236291	-4.488473657	5.4236291	-1.102436981	55	6.025875183	1.522176221	-121.0812288	-2.245170617	-6.590000118	22.3439991	-24.21599985	82.58	-1.102875592	2.400821353	-0.974	2.385	2
8/31/2014	140831_141241tba	2	1	453329	446334	11	Groundout	S	84	3.76	1.72	0.398	8.859	FF		0.89	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		177.483	0.351961	2		0.074980014	-132.3527449	0.300782458	-2.006264651	8.141764706	-2.006264651	8.141764706	-1.435742483	55	6.034881558	5.511003075	-135.3896934	-3.536172236	-3.696000005	27.10399933	-17.18000055	92.42	0.524403905	3.111085624	0.652	3.099	0
8/31/2014	140831_141300tba	2	2	453329	446334	11	Groundout	X	85	3.76	1.72	14.038	-7.324	CU		0.906	R	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	62.6252	-0.34902	2		0.089449352	-110.7412155	0.362381323	10.17521551	-7.893395085	10.17521551	-7.893395085	-1.155575652	55	6.169739382	0.272442147	-113.8882646	2.909052653	12.91399911	23.56400032	-42.19699884	77.68	0.567622288	2.423298538	0.764	2.384	1
8/31/2014	140831_141344tba	4	1	453329	425766	12	Strikeout	S	89	3.69	1.81	-1.593	10.364	FF		0.899	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		188.666	-1.21277	2		0.075243262	-131.9425373	0.301195115	-3.962583935	9.614164905	-3.962583935	9.614164905	-1.39982955	55	6.040925201	2.548960908	-134.8114726	-7.653716248	-7.279999937	25.50999947	-14.51600004	92.08	-0.968281467	1.63299934	-0.857	1.61	0
8/31/2014	140831_141402tba	4	2	453329	425766	12	Strikeout	S	90	3.69	1.81	-2.539	10.836	FF		0.901	L	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		193.101	-1.12234	2		0.074608102	-132.992395	0.299532556	-4.862092807	10.08324392	-4.862092807	10.08324392	-1.215150166	55	6.09495101	4.645063754	-136.1043612	-7.886092126	-9.032000031	27.9140007	-13.4480002	93.01	-0.068863193	1.717755277	0.047	1.695	1
8/31/2014	140831_141421tba	4	3	453329	425766	12	Strikeout	S	91	3.69	1.81	-2.05	10.105	FF		0.9	L	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			191.383	-0.176596	2		0.074343309	-133.4621868	0.298516109	-4.367194358	9.371716703	-4.367194358	9.371716703	-1.059672259	55	6.062277035	5.312121172	-136.5968348	-5.453670899	-8.167999949	28.21799965	-14.65100027	93.28	0.430991608	2.599435356	0.55	2.584	2
